#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 392109:10628 | 05/15/25 00:44:23 | 496  | 496  | 0.043688888    | 0.041563524   |
| 392112:10629 | 05/15/25 06:13:55 | 1021 | 1021 | 0.091874048    | 0.087191063   |
| 392293:10645 | 05/19/25 15:23:02 | 3    | 3    | 0.000488930    | 0.000163748   |
| 392294:10645 | 05/19/25 15:26:08 | 35   | 34   | 0.003473006    | 0.003233394   |
| 392295:10645 | 05/19/25 15:41:39 | 726  | 726  | 0.175165736    | 0.169177169   |
| 392296:10645 | 05/19/25 20:28:13 | 922  | 922  | 0.204728886    | 0.198007412   |
| 392301:10647 | 05/20/25 04:53:42 | 264  | 264  | 0.053450572    | 0.051581164   |
| 392358:10649 | 05/20/25 17:45:01 | 170  | 170  | 0.052599223    | 0.048642140   |
| 392359:10649 | 05/20/25 18:52:47 | 41   | 41   | 0.016347993    | 0.012960522   |
| 392360:10649 | 05/20/25 19:11:33 | 223  | 223  | 0.088770802    | 0.081297882   |
| 392361:10649 | 05/20/25 20:40:01 | 251  | 251  | 0.099967987    | 0.094102907   |
| 392362:10649 | 05/20/25 22:57:05 | 3    | 3    | 0.001190442    | 0.001146487   |
| 392363:10649 | 05/20/25 23:10:20 | 1005 | 1005 | 0.324419130    | 0.312669771   |
| 392382:10650 | 05/21/25 08:38:56 | 108  | 108  | 0.023828875    | 0.023160321   |
| 392431:10653 | 05/22/25 13:34:21 | 189  | 189  | 0.061496900    | 0.055512363   |
| 392432:10653 | 05/22/25 14:51:02 | 73   | 73   | 0.029210711    | 0.027792736   |
| 392440:10656 | 05/23/25 00:45:51 | 267  | 267  | 0.090469674    | 0.085486629   |
| 392441:10656 | 05/23/25 02:32:44 | 480  | 480  | 0.191256573    | 0.182160031   |
| 392442:10656 | 05/23/25 05:41:32 | 889  | 889  | 0.295740787    | 0.284148688   |
| 392473:10659 | 05/23/25 19:47:50 | 127  | 126  | 0.040294399    | 0.035206195   |
| 392476:10659 | 05/23/25 20:40:29 | 101  | 101  | 0.049347745    | 0.046245830   |
| 392477:10659 | 05/23/25 21:22:12 | 752  | 752  | 0.367823112    | 0.351059790   |
| 392517:10663 | 05/24/25 13:27:52 | 48   | 48   | 0.011028496    | 0.010632348   |
| 392524:10665 | 05/24/25 20:46:50 | 390  | 390  | 0.174923320    | 0.165486429   |
| 392526:10665 | 05/24/25 23:26:57 | 1634 | 1634 | 0.664541322    | 0.640447464   |
| 392538:10666 | 05/25/25 12:20:12 | 564  | 564  | 0.252839598    | 0.240963045   |
| 392540:10666 | 05/25/25 16:04:21 | 18   | 18   | 0.008872379    | 0.005965903   |
| 392541:10666 | 05/25/25 16:14:54 | 6    | 6    | 0.002911013    | 0.001514501   |
| 392542:10666 | 05/25/25 16:20:06 | 1895 | 1895 | 0.710264269    | 0.682395378   |
| 392633:10670 | 05/27/25 17:36:04 | 164  | 164  | 0.020901482    | 0.019840858   |
| 392634:10670 | 05/27/25 18:43:41 | 160  | 160  | 0.028544306    | 0.026896264   |
| 392635:10670 | 05/27/25 19:48:37 | 62   | 62   | 0.009252839    | 0.008767392   |
| 392642:10671 | 05/27/25 22:31:10 | 1897 | 1897 | 0.857864022    | 0.819192975   |
| 392668:10672 | 05/28/25 13:38:48 | 88   | 88   | 0.035080020    | 0.031601188   |
| 392669:10672 | 05/28/25 14:16:29 | 2001 | 2001 | 0.895743214    | 0.855923621   |
| 392672:10673 | 05/29/25 05:38:51 | 1798 | 1798 | 0.801510380    | 0.760206001   |
| 392676:10673 | 05/29/25 17:42:49 | 133  | 133  | 0.037344025    | 0.036093612   |
| 392700:10674 | 05/29/25 21:24:49 | 290  | 290  | 0.137686753    | 0.130057820   |
| 392705:10674 | 05/30/25 00:43:36 | 439  | 439  | 0.221485611    | 0.208563731   |
| 392710:10675 | 05/30/25 07:52:13 | 1910 | 1910 | 0.795555867    | 0.759698243   |
| 392732:10676 | 05/30/25 22:30:28 | 9    | 9    | 0.003442332    | 0.003160294   |
| 392751:10677 | 05/31/25 15:38:38 | 348  | 348  | 0.156907766    | 0.149757082   |
| 392787:10678 | 06/01/25 12:14:00 | 176  | 176  | 0.080634889    | 0.076534073   |
| 392925:10683 | 06/02/25 23:45:42 | 1883 | 1883 | 0.880060912    | 0.838933497   |
| 392959:10685 | 06/03/25 18:21:52 | 2023 | 2023 | 0.909190341    | 0.870116214   |
| 392991:10689 | 06/04/25 11:54:24 | 1412 | 1408 | 0.691506674    | 0.660421384   |
| 392993:10689 | 06/04/25 21:15:12 | 667  | 667  | 0.254042779    | 0.244887569   |
| 392997:10690 | 06/05/25 04:02:21 | 1913 | 1907 | 0.893530734    | 0.855023227   |
| 393015:10691 | 06/05/25 18:35:10 | 836  | 836  | 0.407497368    | 0.388512064   |
| 393071:10696 | 06/07/25 04:29:32 | 215  | 215  | 0.105941587    | 0.101212629   |
| 393085:10697 | 06/07/25 08:28:40 | 146  | 146  | 0.061143147    | 0.056080299   |
| 393086:10697 | 06/07/25 09:27:19 | 18   | 17   | 0.009114682    | 0.007121447   |
| 393087:10697 | 06/07/25 09:35:56 | 1589 | 1589 | 0.779141212    | 0.744199877   |
| 393125:10702 | 06/08/25 15:32:02 | 356  | 356  | 0.174731873    | 0.165142805   |
| 393128:10702 | 06/08/25 17:57:22 | 15   | 15   | 0.007579578    | 0.002097427   |
| 393129:10702 | 06/08/25 18:05:09 | 270  | 270  | 0.130351808    | 0.124202967   |
| 393147:10704 | 06/09/25 02:01:36 | 934  | 934  | 0.468522314    | 0.442678875   |
| 393168:10705 | 06/09/25 10:33:47 | 250  | 250  | 0.113348291    | 0.106982607   |
| 393169:10705 | 06/09/25 12:33:07 | 421  | 421  | 0.212630337    | 0.198228817   |
| 393171:10705 | 06/09/25 15:26:09 | 129  | 129  | 0.064986070    | 0.060545006   |
+--------------+-------------------+------+------+----------------+---------------+
#Summary:
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 37    | 82   | 40427 | 40413 | 14.512172655      | 13.822940362     |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
