#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 382770:9861 | 07/05/24 10:19:22 | 585  | 585  | 0.164828659    | 0.160030453   |
| 382791:9862 | 07/05/24 17:32:53 | 105  | 105  | 0.031593998    | 0.029852900   |
| 382792:9862 | 07/05/24 18:18:12 | 80   | 80   | 0.038603059    | 0.030994191   |
| 382794:9862 | 07/05/24 18:54:44 | 13   | 13   | 0.006278361    | 0.005171174   |
| 382795:9862 | 07/05/24 19:03:19 | 468  | 468  | 0.226278097    | 0.212466295   |
| 382799:9864 | 07/06/24 01:44:41 | 615  | 615  | 0.275874634    | 0.259567856   |
| 382810:9865 | 07/06/24 09:09:34 | 70   | 70   | 0.018759648    | 0.017842507   |
| 382811:9865 | 07/06/24 09:42:19 | 396  | 396  | 0.191173862    | 0.178714387   |
| 382830:9867 | 07/06/24 23:56:53 | 75   | 75   | 0.023055023    | 0.022208021   |
| 382834:9869 | 07/07/24 04:03:04 | 742  | 742  | 0.343812790    | 0.321420858   |
| 382856:9871 | 07/07/24 12:22:27 | 415  | 415  | 0.190705512    | 0.179581798   |
| 382878:9873 | 07/07/24 20:54:09 | 844  | 844  | 0.393569132    | 0.369627089   |
| 382913:9877 | 07/08/24 14:41:36 | 2285 | 2285 | 0.873331547    | 0.831199243   |
| 382921:9878 | 07/09/24 08:24:31 | 1178 | 1178 | 0.555203533    | 0.522026531   |
| 382922:9878 | 07/09/24 16:44:19 | 75   | 75   | 0.030405139    | 0.026927341   |
| 382924:9878 | 07/09/24 17:25:22 | 247  | 247  | 0.090267878    | 0.086471024   |
| 382937:9879 | 07/09/24 21:42:48 | 468  | 468  | 0.215125655    | 0.202994132   |
| 382960:9883 | 07/10/24 07:52:18 | 550  | 550  | 0.254479558    | 0.237976201   |
| 383028:9885 | 07/11/24 01:48:44 | 89   | 89   | 0.033109953    | 0.031053561   |
| 383034:9886 | 07/11/24 05:08:29 | 646  | 646  | 0.301775651    | 0.281372894   |
| 383036:9886 | 07/11/24 09:34:23 | 56   | 56   | 0.027005214    | 0.024746266   |
| 383134:9891 | 07/12/24 19:19:21 | 81   | 81   | 0.005591927    | 0.005396736   |
| 383148:9895 | 07/13/24 04:50:42 | 537  | 537  | 0.039786654    | 0.038715077   |
| 383153:9896 | 07/13/24 10:30:17 | 183  | 183  | 0.077103527    | 0.061842641   |
| 383155:9896 | 07/13/24 11:58:32 | 1827 | 1827 | 0.761093252    | 0.720865189   |
| 383162:9899 | 07/14/24 03:43:21 | 1494 | 1491 | 0.689658437    | 0.652695969   |
| 383163:9899 | 07/14/24 13:49:37 | 514  | 514  | 0.164620921    | 0.158275728   |
| 383173:9900 | 07/14/24 19:48:15 | 909  | 909  | 0.430386081    | 0.404286349   |
| 383174:9900 | 07/15/24 01:54:31 | 1003 | 1002 | 0.385158008    | 0.364123333   |
| 383175:9900 | 07/15/24 08:35:34 | 158  | 158  | 0.042292331    | 0.039568584   |
| 383247:9904 | 07/15/24 23:52:58 | 108  | 108  | 0.041872151    | 0.039445771   |
| 383254:9905 | 07/16/24 03:16:42 | 1204 | 1204 | 0.574730680    | 0.536687433   |
| 383255:9905 | 07/16/24 11:15:11 | 912  | 912  | 0.320571154    | 0.308294061   |
| 383275:9906 | 07/16/24 20:29:35 | 176  | 176  | 0.076007066    | 0.066381528   |
| 383276:9906 | 07/16/24 21:41:35 | 276  | 276  | 0.134793674    | 0.125583691   |
| 383277:9906 | 07/16/24 23:40:05 | 602  | 602  | 0.293225233    | 0.274964834   |
| 383323:9910 | 07/17/24 13:35:57 | 396  | 396  | 0.182697275    | 0.162553983   |
| 383326:9910 | 07/17/24 22:15:42 | 42   | 42   | 0.015414165    | 0.014836971   |
| 383363:9911 | 07/18/24 10:09:27 | 256  | 256  | 0.124260089    | 0.117085250   |
| 383365:9911 | 07/18/24 14:48:58 | 45   | 45   | 0.021960610    | 0.020215474   |
| 383366:9911 | 07/18/24 15:11:12 | 27   | 27   | 0.013257732    | 0.011436310   |
| 383367:9911 | 07/18/24 15:24:35 | 176  | 176  | 0.085923473    | 0.079772130   |
| 383368:9911 | 07/18/24 17:16:22 | 1037 | 1037 | 0.364001955    | 0.350574572   |
| 383377:9912 | 07/19/24 03:48:39 | 270  | 270  | 0.121301963    | 0.113368506   |
| 383417:9917 | 07/20/24 01:33:25 | 125  | 125  | 0.060901489    | 0.057249230   |
| 383418:9917 | 07/20/24 06:11:07 | 740  | 740  | 0.312326195    | 0.296565916   |
| 383447:9920 | 07/20/24 20:44:24 | 389  | 389  | 0.180999262    | 0.169834954   |
| 383448:9920 | 07/20/24 23:49:52 | 453  | 453  | 0.220929880    | 0.204217867   |
| 383449:9920 | 07/21/24 02:51:34 | 1206 | 1206 | 0.436936002    | 0.419492899   |
| 383467:9921 | 07/21/24 13:30:14 | 177  | 177  | 0.074930827    | 0.068788355   |
| 383468:9921 | 07/21/24 14:41:34 | 2069 | 2069 | 0.829447605    | 0.786103448   |
| 383485:9923 | 07/22/24 08:25:14 | 75   | 75   | 0.025117210    | 0.023979834   |
| 383486:9923 | 07/22/24 08:56:37 | 104  | 104  | 0.050119192    | 0.042242372   |
| 383487:9923 | 07/22/24 09:47:12 | 1964 | 1964 | 0.823091582    | 0.774599016   |
| 383496:9925 | 07/23/24 02:52:20 | 180  | 180  | 0.078788117    | 0.072808188   |
| 383512:9926 | 07/23/24 06:46:08 | 1719 | 1719 | 0.781538856    | 0.730828531   |
| 383514:9926 | 07/23/24 19:13:08 | 139  | 139  | 0.039087412    | 0.037844904   |
| 383536:9927 | 07/24/24 02:13:47 | 163  | 163  | 0.066233064    | 0.061638433   |
| 383537:9927 | 07/24/24 03:19:59 | 67   | 67   | 0.032651466    | 0.028948000   |
| 383541:9927 | 07/24/24 04:01:38 | 302  | 302  | 0.147092100    | 0.137246353   |
| 383629:9931 | 07/25/24 00:40:18 | 190  | 190  | 0.080965548    | 0.076448775   |
| 383630:9931 | 07/25/24 01:56:21 | 277  | 277  | 0.131107434    | 0.123678237   |
| 383631:9931 | 07/25/24 03:56:49 | 1675 | 1675 | 0.683067240    | 0.642952680   |
| 383647:9932 | 07/25/24 17:03:23 | 105  | 105  | 0.040324052    | 0.037923602   |
| 383648:9932 | 07/25/24 17:46:40 | 211  | 211  | 0.102870830    | 0.095059660   |
| 383649:9932 | 07/25/24 19:18:20 | 340  | 340  | 0.165900287    | 0.153987763   |
| 383650:9932 | 07/25/24 21:33:00 | 31   | 31   | 0.015140488    | 0.013051126   |
| 383661:9934 | 07/26/24 01:47:35 | 100  | 100  | 0.037402455    | 0.034630992   |
| 383662:9934 | 07/26/24 02:30:48 | 162  | 162  | 0.078868068    | 0.072321397   |
| 383669:9935 | 07/26/24 05:40:30 | 613  | 613  | 0.289151715    | 0.268547440   |
| 383687:9936 | 07/26/24 12:06:39 | 437  | 437  | 0.203392758    | 0.188606746   |
| 383692:9937 | 07/26/24 17:20:31 | 736  | 736  | 0.347381208    | 0.319742637   |
| 383693:9937 | 07/26/24 22:58:55 | 27   | 27   | 0.013136738    | 0.012032804   |
| 383712:9939 | 07/27/24 08:56:46 | 346  | 346  | 0.166672753    | 0.156726320   |
| 383724:9939 | 07/27/24 19:49:20 | 192  | 192  | 0.061954641    | 0.059779227   |
| 383740:9941 | 07/28/24 01:30:34 | 671  | 671  | 0.312475794    | 0.287444201   |
| 383741:9941 | 07/28/24 05:57:18 | 549  | 549  | 0.264005138    | 0.245351972   |
| 383756:9942 | 07/28/24 12:32:37 | 516  | 516  | 0.242222368    | 0.222643686   |
| 383758:9942 | 07/28/24 21:50:52 | 25   | 25   | 0.009579673    | 0.008984129   |
| 383767:9943 | 07/29/24 00:29:10 | 1549 | 1549 | 0.705990988    | 0.654916631   |
| 383779:9943 | 07/29/24 10:56:46 | 173  | 173  | 0.058137853    | 0.055796996   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 62    | 119  | 62655 | 62650 | 26.322682307      | 24.783048706     |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
