#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  393169:10705   06/09/25 12:33:07   421    421    0.211235237      0.196928048    
  393171:10705   06/09/25 15:26:09   129    129    0.064558339      0.060146450    
  393240:10709   06/11/25 04:31:25   4691   4691   1.414669519      1.359572540    
  393273:10713   06/13/25 03:36:18   466    466    0.219669452      0.206357153    
  393274:10713   06/13/25 07:07:13   33     33     0.016585470      0.012872057    
  393275:10713   06/13/25 07:22:29   71     71     0.035762403      0.032233531    
  393276:10713   06/13/25 07:52:34   820    820    0.406503620      0.387269265    
  393331:10717   06/13/25 23:27:06   1709   1709   0.811331807      0.769637860    
  393346:10718   06/14/25 13:45:16   986    986    0.493917495      0.468042364    
  393347:10718   06/14/25 20:13:40   278    278    0.138111776      0.131091555    
  393376:10721   06/15/25 18:53:09   1207   1207   0.591073430      0.558403915    
  393377:10721   06/16/25 02:44:17   308    308    0.151704011      0.142581948    
  393378:10721   06/16/25 04:48:37   753    753    0.270415884      0.260130680    
  393445:10731   06/17/25 12:54:39   432    431    0.204323950      0.191541472    
  393446:10731   06/17/25 15:46:03   3      3      0.001487915      0.000240461    
  393447:10731   06/17/25 15:48:40   38     38     0.019075619      0.016855732    
  393448:10731   06/17/25 16:07:15   1714   1714   0.776272947      0.733965524    
  393461:10732   06/18/25 07:46:35   2840   2840   1.151804759      1.098004584    
  394637:10845   07/17/25 00:29:27   596    596    0.013232599      0.013136390    
  394663:10848   07/17/25 14:15:10   122    122    0.001771235      0.001719428    
  394673:10850   07/17/25 20:54:49   1263   1263   0.106428386      0.102617108    
  394677:10852   07/18/25 08:14:41   1646   1646   0.368030983      0.355002637    
  394678:10852   07/18/25 18:58:16   52     52     0.008054265      0.007692548    
  394702:10854   07/18/25 22:46:47   248    248    0.103341332      0.098193010    
  394725:10855   07/19/25 04:52:57   10     10     0.004001568      0.003343204    
  394726:10855   07/19/25 05:01:51   17     17     0.006672542      0.005128996    
  394727:10855   07/19/25 05:11:50   811    811    0.250240672      0.241711346    
  394753:10857   07/19/25 16:01:44   1037   1037   0.489469819      0.460262033    
  394754:10857   07/19/25 22:48:44   1396   1396   0.554530538      0.530972532    
  394776:10859   07/20/25 12:14:35   1391   1391   0.645065178      0.614698051    
  394789:10862   07/21/25 02:13:23   2117   2117   0.949390101      0.898695107    
  394816:10865   07/21/25 19:42:05   2      2      0.000646238      0.000240641    
  394818:10865   07/21/25 19:47:22   2      2      0.000465810      0.000250647    
  394819:10865   07/21/25 19:51:30   17     17     0.005942449      0.003131399    
  394820:10865   07/21/25 20:00:15   641    641    0.308355245      0.291472580    
  394860:10866   07/22/25 03:13:21   564    564    0.271911255      0.256589027    
  394861:10866   07/22/25 07:00:58   972    972    0.463504755      0.438323643    
  394862:10866   07/22/25 13:23:32   323    323    0.127736068      0.120752845    
  394886:10868   07/22/25 19:38:34   1519   1519   0.729510342      0.689884584    
  394959:10871   07/23/25 15:22:45   2070   2070   0.934080225      0.879450592    
